age_group,sex,education,income_group,race_group,obesity_rate,n
25-29,Male,Graduated college or technical school,50k-100k,Hispanic,0.2838427947598253,916
40-44,Female,Graduated college or technical school,50k-100k,Hispanic,0.34279475982532753,916
18-24,Female,Attended college or technical school,100k-200k,NH-White,0.18181818181818182,913
18-24,Male,Graduated high school,25k-35k,Hispanic,0.23355263157894737,912
50-54,Female,Graduated high school,<15k,NH-White,0.5308370044052864,908
30-34,Male,Graduated high school,25k-35k,NH-White,0.36504424778761063,904
45-49,Male,Attended college or technical school,35k-50k,NH-White,0.45514950166112955,903
18-24,Male,Graduated college or technical school,35k-50k,NH-White,0.18262806236080179,898
25-29,Female,Graduated high school,35k-50k,NH-White,0.44407158836689037,894
80+,Male,Graduated college or technical school,15k-25k,NH-White,0.18967452300785634,891
60-64,Male,Graduated college or technical school,15k-25k,NH-White,0.3807909604519774,885
40-44,Male,Graduated high school,25k-35k,NH-White,0.4067796610169492,885
40-44,Female,Attended college or technical school,15k-25k,NH-White,0.4869169510807736,879
35-39,Female,Graduated high school,25k-35k,NH-White,0.467502850627138,877
40-44,Female,Graduated high school,25k-35k,NH-White,0.4885844748858447,876
25-29,Female,Graduated college or technical school,25k-35k,NH-White,0.2894736842105263,874
65-69,Female,Graduated high school,100k-200k,NH-White,0.33867276887871856,874
