age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
35-39,Male,Graduated high school,100k-200k,NH-White,0.4006145758334177,1571,1,0.3994704094953115,0.38697241543401906
70-74,Male,Graduated high school,15k-25k,NH-White,0.3462660131509401,1567,1,0.3461399308548639,0.372852940279567
65-69,Male,Graduated high school,100k-200k,NH-White,0.3977115923087266,1551,1,0.396608037089519,0.36632009117089576
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3849487329110151,1545,1,0.3840840757556907,0.34667339137513503
18-24,Male,Graduated high school,25k-35k,NH-White,0.1961966340324617,1543,1,0.1989307268148652,0.2201711312825964
55-59,Female,Attended college or technical school,35k-50k,NH-White,0.4215656701697949,1514,1,0.419972183681842,0.4614173322828639
80+,Male,Graduated college or technical school,25k-35k,NH-White,0.211479421235796,1487,1,0.214012212488677,0.17331401080224176
75-79,Male,Attended college or technical school,25k-35k,NH-White,0.3970262387828384,1487,1,0.3958896796557516,0.3299849160604278
70-74,Female,Attended college or technical school,100k-200k,NH-White,0.2713343936920215,1482,1,0.2726879619175069,0.36068018600585183
18-24,Male,Attended college or technical school,100k-200k,NH-White,0.1892958491300287,1464,1,0.1923130857389936,0.19558578128772422
55-59,Male,Graduated high school,35k-50k,NH-White,0.4171328268778974,1451,1,0.4155613496067006,0.44162007080538046
65-69,Male,Graduated college or technical school,25k-35k,NH-White,0.3269998434298263,1443,1,0.3272555336299619,0.3233689164472899
30-34,Female,Graduated college or technical school,200k+,NH-White,0.1228914886257792,1411,1,0.1274021633717341,0.2314958930364877
18-24,Female,Graduated high school,50k-100k,NH-White,0.2573441272823867,1404,1,0.2590640039554849,0.22559943260373502
65-69,Male,Attended college or technical school,15k-25k,NH-White,0.3417044050030812,1403,1,0.3416593909190631,0.3958472501717834
60-64,Male,Attended college or technical school,25k-35k,NH-White,0.4010286570087227,1395,1,0.3997344585928861,0.42428476507063434
55-59,Female,Graduated college or technical school,35k-50k,NH-White,0.3503971089165363,1395,1,0.3501688378289562,0.3822238029349247
40-44,Female,Graduated high school,50k-100k,NH-White,0.4157446367779131,1394,1,0.4141395018511977,0.449776858904152
45-49,Female,Graduated high school,50k-100k,NH-White,0.4311149312725538,1393,1,0.4291846284120604,0.4716566228720119
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2708842717647748,1355,1,0.2723717077321042,0.28261582089266274
80+,Male,Graduated college or technical school,200k+,NH-White,0.1353124183655522,1353,1,0.1397428264759845,0.11065576364848453
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3649556290791386,1347,1,0.3644022217409544,0.37118722709972335
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.3444318114087719,1342,1,0.3443251588034011,0.341014228901455
60-64,Female,Graduated high school,100k-200k,NH-White,0.356910311535153,1321,1,0.3565249063698236,0.4125793387009465
55-59,Female,Graduated high school,25k-35k,NH-White,0.4604364961659881,1293,1,0.4576954017462715,0.4701802986536895
55-59,Female,Graduated high school,35k-50k,NH-White,0.4688674055620101,1293,1,0.4659351340584834,0.46318969479954913
55-59,Female,Graduated high school,100k-200k,NH-White,0.3417827461707778,1283,1,0.3417318281072372,0.43493690309507727
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3540677298690495,1280,1,0.3537353596947159,0.3673485292050111
60-64,Female,Graduated high school,<15k,NH-White,0.4240209423376626,1276,1,0.4220806656895497,0.43854178175307496
