age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
75-79,Female,Did not graduate high school,200k+,NH-Black,0.0,2,0
35-39,Female,Did not graduate high school,100k-200k,Asian,0.7920266033548686,2,0
25-29,Male,Did not graduate high school,50k-100k,NHOPI,0.0,2,0
75-79,Female,Graduated high school,200k+,Other/Multiracial,0.0,2,0
75-79,Male,Did not graduate high school,100k-200k,Other/Multiracial,0.0,2,0
75-79,Male,Did not graduate high school,100k-200k,NH-Black,0.0,2,0
80+,Female,Did not graduate high school,50k-100k,Other/Multiracial,0.3080384194895731,2,0
80+,Female,Attended college or technical school,100k-200k,NHOPI,0.4987501275142508,2,0
75-79,Female,Attended college or technical school,100k-200k,AIAN,0.040230593848868,2,0
35-39,Male,Attended college or technical school,200k+,NHOPI,1.0,2,0
65-69,Female,Did not graduate high school,200k+,Other/Multiracial,0.0,2,0
55-59,Female,Did not graduate high school,100k-200k,NH-Black,1.0,2,0
30-34,Female,Did not graduate high school,35k-50k,Asian,1.0,2,0
75-79,Male,Attended college or technical school,200k+,Hispanic,0.0,2,0
70-74,Male,Graduated college or technical school,<15k,NHOPI,0.0,2,0
55-59,Female,Did not graduate high school,25k-35k,Asian,0.7805976353398695,2,0
80+,Female,Graduated college or technical school,15k-25k,NHOPI,0.0,2,0
70-74,Male,Graduated high school,100k-200k,AIAN,1.0,2,0
25-29,Female,Did not graduate high school,<15k,NHOPI,1.0,2,0
35-39,Male,Did not graduate high school,200k+,Asian,1.0,2,0
65-69,Female,Graduated high school,200k+,Other/Multiracial,0.0,2,0
65-69,Female,Did not graduate high school,200k+,AIAN,0.0,2,0
65-69,Female,Did not graduate high school,200k+,Asian,0.0,2,0
30-34,Female,Did not graduate high school,50k-100k,AIAN,1.0,2,0
35-39,Female,Did not graduate high school,100k-200k,AIAN,1.0,2,0
80+,Female,Graduated college or technical school,200k+,NHOPI,0.0,2,0
50-54,Male,Did not graduate high school,<15k,Asian,0.0,2,0
30-34,Female,Did not graduate high school,15k-25k,NHOPI,1.0,2,0
55-59,Female,Did not graduate high school,100k-200k,AIAN,0.2614643960202748,2,0
35-39,Female,Did not graduate high school,50k-100k,NHOPI,1.0,2,0
75-79,Male,Did not graduate high school,35k-50k,Asian,0.9026627106452167,2,0
65-69,Female,Did not graduate high school,50k-100k,Asian,0.0,2,0
75-79,Female,Attended college or technical school,25k-35k,NHOPI,0.0,2,0
30-34,Female,Did not graduate high school,200k+,NH-Black,1.0,2,0
30-34,Male,Graduated college or technical school,15k-25k,NHOPI,0.4984816598614554,2,0
35-39,Female,Did not graduate high school,50k-100k,AIAN,0.1639652780838066,2,0
65-69,Male,Did not graduate high school,25k-35k,NHOPI,0.6878273219508434,2,0
75-79,Male,Did not graduate high school,50k-100k,AIAN,1.0,2,0
75-79,Male,Did not graduate high school,50k-100k,Asian,0.0,2,0
55-59,Female,Did not graduate high school,50k-100k,Asian,0.6510688121200804,2,0
80+,Female,Attended college or technical school,200k+,Hispanic,0.9430255792323377,2,0
25-29,Male,Did not graduate high school,100k-200k,NH-Black,0.0,2,0
35-39,Female,Did not graduate high school,200k+,NHOPI,0.2820678336396223,2,0
30-34,Female,Did not graduate high school,200k+,Hispanic,0.0148760430805753,2,0
25-29,Male,Did not graduate high school,<15k,Asian,0.7621375505391117,2,0
25-29,Female,Graduated high school,200k+,Other/Multiracial,1.0,2,0
25-29,Female,Graduated high school,200k+,NHOPI,0.823392103964546,2,0
50-54,Male,Did not graduate high school,100k-200k,Asian,0.9454242467107872,2,0
25-29,Female,Graduated high school,200k+,Asian,0.0,2,0
25-29,Female,Graduated high school,200k+,NH-Black,0.0,2,0
75-79,Female,Did not graduate high school,50k-100k,AIAN,0.0,2,0
75-79,Male,Graduated high school,100k-200k,NHOPI,0.0,2,0
75-79,Female,Graduated high school,100k-200k,Asian,0.0,2,0
50-54,Male,Graduated college or technical school,<15k,NHOPI,1.0,2,0
50-54,Male,Did not graduate high school,200k+,Other/Multiracial,0.9592543930761166,2,0
25-29,Male,Graduated college or technical school,200k+,NHOPI,0.0,2,0
75-79,Female,Graduated college or technical school,15k-25k,NHOPI,0.0,2,0
65-69,Male,Did not graduate high school,100k-200k,Other/Multiracial,1.0,2,0
75-79,Female,Graduated college or technical school,200k+,NHOPI,0.0,2,0
25-29,Male,Did not graduate high school,200k+,AIAN,0.7578717734035019,2,0
35-39,Female,Did not graduate high school,15k-25k,Asian,0.0,2,0
30-34,Male,Did not graduate high school,<15k,Asian,0.1260386857497102,2,0
30-34,Male,Did not graduate high school,200k+,Asian,0.0,2,0
50-54,Male,Did not graduate high school,200k+,AIAN,0.0,2,0
25-29,Male,Graduated high school,200k+,AIAN,0.0868755247743073,2,0
25-29,Male,Did not graduate high school,<15k,NHOPI,1.0,2,0
75-79,Female,Graduated college or technical school,25k-35k,NHOPI,0.0,2,0
70-74,Male,Graduated high school,200k+,Hispanic,0.5329335044331762,3,0
70-74,Male,Graduated high school,200k+,Asian,0.0,3,0
35-39,Male,Did not graduate high school,50k-100k,NHOPI,0.1242987799043164,3,0
35-39,Male,Did not graduate high school,<15k,Asian,0.6744077747813405,3,0
35-39,Male,Did not graduate high school,25k-35k,NHOPI,1.0,3,0
25-29,Female,Did not graduate high school,200k+,NH-White,0.1590244257903109,3,0
35-39,Male,Did not graduate high school,100k-200k,Other/Multiracial,0.9491094657505592,3,0
55-59,Male,Graduated college or technical school,25k-35k,NHOPI,1.0,3,0
25-29,Female,Did not graduate high school,200k+,NH-Black,0.7020218222827115,3,0
80+,Female,Graduated college or technical school,100k-200k,NHOPI,0.0,3,0
25-29,Female,Did not graduate high school,50k-100k,AIAN,0.0,3,0
50-54,Female,Graduated college or technical school,15k-25k,NHOPI,0.744583648584876,3,0
50-54,Female,Did not graduate high school,35k-50k,Other/Multiracial,0.0,3,0
25-29,Female,Did not graduate high school,50k-100k,NHOPI,0.1147104720227011,3,0
25-29,Female,Did not graduate high school,15k-25k,Asian,0.1130757224332746,3,0
70-74,Male,Did not graduate high school,25k-35k,NHOPI,0.7166400896347712,3,0
65-69,Female,Attended college or technical school,200k+,AIAN,0.0132553890156701,3,0
