age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.4692499924064757,1231,1,0.4661644469627805
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.3992274284871681,1228,1,0.39780437929247764
55-59,Male,Graduated high school,25k-35k,NH-White,0.4390721732919436,1220,1,0.43668374270709254
65-69,Female,Graduated high school,<15k,NH-White,0.3961806011575036,1217,1,0.3948182987781687
55-59,Female,Graduated high school,15k-25k,NH-White,0.4969013506065397,1216,1,0.4931128967136813
35-39,Female,Graduated high school,50k-100k,NH-White,0.4316057152829353,1210,1,0.42937866327423085
30-34,Male,Graduated high school,100k-200k,NH-White,0.3640741361186026,1200,1,0.3634760896829412
60-64,Male,Graduated high school,<15k,NH-White,0.3956468860562407,1190,1,0.3942675585037877
25-29,Male,Graduated college or technical school,35k-50k,NH-White,0.1831610247680439,1181,1,0.18703534039533803
80+,Female,Graduated high school,<15k,NH-White,0.2418000344776604,1179,1,0.24422569695356175
80+,Female,Graduated college or technical school,15k-25k,NH-White,0.246801041621539,1177,1,0.24910642332746138
65-69,Female,Graduated college or technical school,15k-25k,NH-White,0.3823253485802861,1160,1,0.38124708514355155
30-34,Female,Graduated high school,50k-100k,NH-White,0.4064853145946696,1159,1,0.4047965572606531
70-74,Female,Graduated college or technical school,15k-25k,NH-White,0.3753563794589011,1155,1,0.37444999598542217
18-24,Male,Graduated college or technical school,100k-200k,NH-White,0.1552044250192211,1151,1,0.15988731597359696
18-24,Male,Attended college or technical school,35k-50k,NH-White,0.1914996524677151,1146,1,0.19527655501334698
55-59,Male,Graduated high school,15k-25k,NH-White,0.4594354232332034,1140,1,0.4563615465414927
75-79,Male,Attended college or technical school,100k-200k,NH-White,0.3349453942002031,1140,1,0.3350635695349795
55-59,Male,Attended college or technical school,35k-50k,NH-White,0.4262146947508757,1137,1,0.42398691936541577
25-29,Male,Attended college or technical school,100k-200k,NH-White,0.3024775888453751,1119,1,0.3034456474200777
50-54,Female,Graduated college or technical school,35k-50k,NH-White,0.4249508066862594,1107,1,0.42269759891766373
30-34,Female,Attended college or technical school,35k-50k,NH-White,0.4638660517044018,1097,1,0.4605569526951405
40-44,Female,Attended college or technical school,35k-50k,NH-White,0.4837640231707408,1095,1,0.4799184287463606
55-59,Female,Attended college or technical school,15k-25k,NH-White,0.4653879587309851,1094,1,0.46202940731262654
70-74,Female,Graduated college or technical school,200k+,NH-White,0.1482093493552564,1086,1,0.15335302900313885
50-54,Female,Graduated high school,100k-200k,NH-White,0.3994573444112339,1085,1,0.3978456014833034
75-79,Male,Graduated high school,15k-25k,NH-White,0.3118432348864965,1079,1,0.3125928560957838
35-39,Female,Attended college or technical school,35k-50k,NH-White,0.4946517193629381,1075,1,0.4904409278577856
30-34,Female,Graduated college or technical school,35k-50k,NH-White,0.3735334441499587,1070,1,0.37260673837104574
40-44,Female,Graduated college or technical school,35k-50k,NH-White,0.3460466768862528,1069,1,0.345869449098361
18-24,Female,Graduated high school,25k-35k,NH-White,0.2869708977534653,1064,1,0.2884128539098552
60-64,Female,Attended college or technical school,<15k,NH-White,0.4139868920977761,1051,1,0.41192123086258764
18-24,Male,Graduated high school,50k-100k,Hispanic,0.2462457457348586,1038,1,0.24886677063715146
45-49,Female,Attended college or technical school,35k-50k,NH-White,0.488676206839554,1034,1,0.48447163988702385
25-29,Male,Attended college or technical school,35k-50k,NH-White,0.3074379609604569,1031,1,0.30834605534205994
30-34,Male,Graduated high school,35k-50k,NH-White,0.3316455595971174,1022,1,0.3318710920874035
18-24,Male,Attended college or technical school,25k-35k,NH-White,0.1711795032739798,1020,1,0.17599020981633703
55-59,Female,Graduated high school,<15k,NH-White,0.4542245820829106,1017,1,0.4509388987067952
30-34,Female,Attended college or technical school,100k-200k,NH-White,0.2984896324151466,1014,1,0.29966964965196663
65-69,Female,Attended college or technical school,<15k,NH-White,0.3932425023117958,1007,1,0.3916893218858948
70-74,Female,Graduated high school,<15k,NH-White,0.3933652409713543,1007,1,0.39180850976455955
35-39,Female,Graduated college or technical school,35k-50k,NH-White,0.4151376804430174,1002,1,0.412940487181781
50-54,Male,Graduated high school,35k-50k,NH-White,0.435503999805188,997,1,0.4327011828368714
30-34,Male,Attended college or technical school,35k-50k,NH-White,0.3444757094865155,991,1,0.3443311019283363
65-69,Male,Graduated high school,<15k,NH-White,0.3549816939828664,989,1,0.3545274998201662
18-24,Female,Attended college or technical school,25k-35k,NH-White,0.2627741984523087,988,1,0.2650368713541999
35-39,Male,Graduated high school,35k-50k,NH-White,0.3515104823860598,987,1,0.3511577906418245
