age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
30-34,Female,Attended college or technical school,35k-50k,NH-White,0.4638660517044018,1097,1
40-44,Female,Attended college or technical school,35k-50k,NH-White,0.4837640231707408,1095,1
55-59,Female,Attended college or technical school,15k-25k,NH-White,0.4653879587309851,1094,1
70-74,Female,Graduated college or technical school,200k+,NH-White,0.1482093493552564,1086,1
50-54,Female,Graduated high school,100k-200k,NH-White,0.3994573444112339,1085,1
75-79,Male,Graduated high school,15k-25k,NH-White,0.3118432348864965,1079,1
35-39,Female,Attended college or technical school,35k-50k,NH-White,0.4946517193629381,1075,1
30-34,Female,Graduated college or technical school,35k-50k,NH-White,0.3735334441499587,1070,1
40-44,Female,Graduated college or technical school,35k-50k,NH-White,0.3460466768862528,1069,1
18-24,Female,Graduated high school,25k-35k,NH-White,0.2869708977534653,1064,1
60-64,Female,Attended college or technical school,<15k,NH-White,0.4139868920977761,1051,1
18-24,Male,Graduated high school,50k-100k,Hispanic,0.2462457457348586,1038,1
45-49,Female,Attended college or technical school,35k-50k,NH-White,0.488676206839554,1034,1
25-29,Male,Attended college or technical school,35k-50k,NH-White,0.3074379609604569,1031,1
30-34,Male,Graduated high school,35k-50k,NH-White,0.3316455595971174,1022,1
18-24,Male,Attended college or technical school,25k-35k,NH-White,0.1711795032739798,1020,1
55-59,Female,Graduated high school,<15k,NH-White,0.4542245820829106,1017,1
30-34,Female,Attended college or technical school,100k-200k,NH-White,0.2984896324151466,1014,1
65-69,Female,Attended college or technical school,<15k,NH-White,0.3932425023117958,1007,1
70-74,Female,Graduated high school,<15k,NH-White,0.3933652409713543,1007,1
35-39,Female,Graduated college or technical school,35k-50k,NH-White,0.4151376804430174,1002,1
50-54,Male,Graduated high school,35k-50k,NH-White,0.435503999805188,997,1
30-34,Male,Attended college or technical school,35k-50k,NH-White,0.3444757094865155,991,1
65-69,Male,Graduated high school,<15k,NH-White,0.3549816939828664,989,1
18-24,Female,Attended college or technical school,25k-35k,NH-White,0.2627741984523087,988,1
35-39,Male,Graduated high school,35k-50k,NH-White,0.3515104823860598,987,1
35-39,Male,Attended college or technical school,35k-50k,NH-White,0.3686356692618442,980,1
18-24,Female,Attended college or technical school,35k-50k,NH-White,0.240940544509395,962,1
50-54,Female,Attended college or technical school,25k-35k,NH-White,0.5042715040214177,953,1
18-24,Female,Graduated high school,35k-50k,NH-White,0.283410690512458,945,1
18-24,Female,Graduated college or technical school,100k-200k,NH-White,0.1234773628628913,944,1
35-39,Female,Attended college or technical school,25k-35k,NH-White,0.5182007113672148,939,1
60-64,Male,Graduated college or technical school,25k-35k,NH-White,0.3326707549320472,932,1
60-64,Female,Graduated college or technical school,15k-25k,NH-White,0.3948470809626802,931,1
80+,Male,Attended college or technical school,15k-25k,NH-White,0.1815317989061122,930,1
40-44,Female,Attended college or technical school,25k-35k,NH-White,0.4428204170608952,925,1
55-59,Female,Attended college or technical school,<15k,NH-White,0.4940956696276912,922,1
50-54,Female,Graduated high school,35k-50k,NH-White,0.4615606329111904,914,1
50-54,Male,Attended college or technical school,35k-50k,NH-White,0.451539037048616,913,1
18-24,Female,Attended college or technical school,100k-200k,NH-White,0.1655536638702392,913,1
80+,Female,Did not graduate high school,15k-25k,NH-White,0.2887946396557718,904,1
25-29,Female,Graduated high school,50k-100k,NH-White,0.390498857722076,903,1
45-49,Female,Graduated college or technical school,35k-50k,NH-White,0.4440938252668987,900,1
30-34,Male,Graduated college or technical school,35k-50k,NH-White,0.3005721833361458,885,1
50-54,Female,Graduated high school,25k-35k,NH-White,0.5585895490397244,882,1
40-44,Male,Graduated high school,35k-50k,NH-White,0.3868494086507842,881,1
45-49,Female,Attended college or technical school,25k-35k,NH-White,0.4989493687428124,878,1
55-59,Male,Graduated high school,<15k,NH-White,0.4452772666900985,876,1
40-44,Male,Attended college or technical school,35k-50k,NH-White,0.4726565375850665,875,1
65-69,Female,Graduated high school,100k-200k,NH-White,0.3391088275456905,874,1
25-29,Male,Graduated high school,100k-200k,NH-White,0.2656365187540518,873,1
55-59,Male,Attended college or technical school,25k-35k,NH-White,0.3903148217229518,867,1
50-54,Female,Graduated high school,15k-25k,NH-White,0.5502726150612591,863,1
55-59,Female,Graduated college or technical school,25k-35k,NH-White,0.3916068644126994,861,1
50-54,Female,Attended college or technical school,15k-25k,NH-White,0.4792494098600957,856,1
55-59,Male,Graduated college or technical school,35k-50k,NH-White,0.3436319155478108,853,1
25-29,Female,Attended college or technical school,35k-50k,NH-White,0.4069291768778438,850,1
30-34,Female,Attended college or technical school,25k-35k,NH-White,0.4693732290749827,850,1
25-29,Male,Graduated college or technical school,200k+,NH-White,0.1325544567738011,850,1
50-54,Female,Graduated college or technical school,50k-100k,NH-Black,0.6029472064537101,845,1
75-79,Male,Attended college or technical school,15k-25k,NH-White,0.3588727738547234,838,1
75-79,Female,Attended college or technical school,100k-200k,NH-White,0.2794987556398104,834,1
45-49,Female,Graduated high school,100k-200k,NH-White,0.3641551750824316,831,1
70-74,Male,Graduated college or technical school,15k-25k,NH-White,0.3174034022809006,829,1
65-69,Male,Graduated college or technical school,15k-25k,NH-White,0.3849514274683744,824,1
25-29,Male,Graduated high school,25k-35k,NH-White,0.3487107495269776,816,1
18-24,Female,Graduated college or technical school,35k-50k,NH-White,0.2160612588878181,812,1
75-79,Female,Graduated college or technical school,15k-25k,NH-White,0.278088272174624,812,1
45-49,Male,Graduated high school,35k-50k,NH-White,0.4297538856043405,812,1
40-44,Female,Graduated college or technical school,50k-100k,NH-Black,0.4581693592184292,809,1
65-69,Female,Graduated college or technical school,50k-100k,NH-Black,0.5110706403524182,808,1
70-74,Female,Attended college or technical school,<15k,NH-White,0.4163319256255157,803,1
50-54,Male,Graduated high school,25k-35k,NH-White,0.4799744052479552,801,1
18-24,Female,Attended college or technical school,15k-25k,NH-White,0.2192519918670975,801,1
18-24,Male,Graduated high school,25k-35k,Hispanic,0.2370004694147852,797,1
30-34,Female,Graduated high school,25k-35k,NH-White,0.3905174040904907,793,1
55-59,Female,Graduated college or technical school,50k-100k,NH-Black,0.4760258041512131,791,1
18-24,Male,Graduated high school,35k-50k,Hispanic,0.2485851353399283,789,1
18-24,Male,Graduated high school,15k-25k,NH-White,0.1868845508158113,784,1
80+,Male,Attended college or technical school,100k-200k,NH-White,0.2129221548428989,778,1
60-64,Female,Graduated college or technical school,50k-100k,NH-Black,0.5341227129506726,773,1
50-54,Female,Graduated college or technical school,100k-200k,NH-Black,0.4900678909233716,763,1
45-49,Male,Attended college or technical school,200k+,NH-White,0.3510082403417128,761,1
70-74,Male,Graduated high school,100k-200k,NH-White,0.3560165713809627,760,1
35-39,Female,Graduated high school,35k-50k,NH-White,0.4484442668629552,758,1
40-44,Female,Graduated high school,25k-35k,NH-White,0.4652599200721692,757,1
45-49,Female,Graduated college or technical school,50k-100k,NH-Black,0.5658462903703914,757,1
18-24,Male,Attended college or technical school,15k-25k,NH-White,0.1737861695421295,752,1
50-54,Male,Attended college or technical school,200k+,NH-White,0.374283353013221,752,1
55-59,Male,Attended college or technical school,200k+,NH-White,0.4159240519800616,749,1
50-54,Female,Attended college or technical school,<15k,NH-White,0.4508013809167098,746,1
