age,sex,race,education,income,weight,year,prop
18-24,Male,Asian,Did not graduate high school,50k-100k,44532,2020,0.00018149693818064383
18-24,Male,Asian,Did not graduate high school,<15k,11923,2020,4.859399968399839e-05
18-24,Male,Asian,Graduated college or technical school,100k-200k,63297,2020,0.0002579765493582191
18-24,Male,Asian,Graduated college or technical school,15k-25k,13136,2020,5.353776565033992e-05
18-24,Male,Asian,Graduated college or technical school,200k+,38397,2020,0.00015649281270372275
18-24,Male,Asian,Graduated college or technical school,25k-35k,12977,2020,5.2889736970497955e-05
18-24,Male,Asian,Graduated college or technical school,35k-50k,19417,2020,7.913693633013476e-05
18-24,Male,Asian,Graduated college or technical school,50k-100k,55461,2020,0.00022603973970261132
18-24,Male,Asian,Graduated college or technical school,<15k,37422,2020,0.00015251905193110692
18-24,Male,Asian,Graduated high school,100k-200k,105582,2020,0.0004303154973275114
18-24,Male,Asian,Graduated high school,15k-25k,22485,2020,9.164103689463254e-05
18-24,Male,Asian,Graduated high school,200k+,37032,2020,0.0001509295476220606
18-24,Male,Asian,Graduated high school,25k-35k,27022,2020,0.00011013227035653816
18-24,Male,Asian,Graduated high school,35k-50k,41933,2020,0.00017090431843907612
18-24,Male,Asian,Graduated high school,50k-100k,116531,2020,0.0004749398118909684
18-24,Male,Asian,Graduated high school,<15k,31282,2020,0.00012749454819381345
18-24,Male,Hispanic,Attended college or technical school,100k-200k,301703,2020,0.001229636457826165
18-24,Male,Hispanic,Attended college or technical school,15k-25k,71905,2020,0.0002930597624153237
18-24,Male,Hispanic,Attended college or technical school,200k+,68859,2020,0.0002806453261964644
18-24,Male,Hispanic,Attended college or technical school,25k-35k,97416,2020,0.00039703372248732597
18-24,Male,Hispanic,Attended college or technical school,35k-50k,159346,2020,0.000649438855459734
18-24,Male,Hispanic,Attended college or technical school,50k-100k,443979,2020,0.0018095039323745637
18-24,Male,Hispanic,Attended college or technical school,<15k,68120,2020,0.00027763341931342535
18-24,Male,Hispanic,Did not graduate high school,100k-200k,107164,2020,0.0004367631789093352
18-24,Male,Hispanic,Did not graduate high school,15k-25k,59451,2020,0.00024230159147977761
18-24,Male,Hispanic,Did not graduate high school,200k+,20936,2020,8.532785183126649e-05
18-24,Male,Hispanic,Did not graduate high school,25k-35k,68059,2020,0.0002773848045368822
18-24,Male,Hispanic,Did not graduate high school,35k-50k,98610,2020,0.0004019000510642524
18-24,Male,Hispanic,Did not graduate high school,50k-100k,218508,2020,0.0008905625834899875
18-24,Male,Hispanic,Did not graduate high school,<15k,47512,2020,0.00019364238136258756
18-24,Male,Hispanic,Graduated college or technical school,100k-200k,52157,2020,0.0002125737852485368
18-24,Male,Hispanic,Graduated college or technical school,15k-25k,9322,2020,3.799322863828172e-05
18-24,Male,Hispanic,Graduated college or technical school,200k+,17427,2020,7.102638870192401e-05
18-24,Male,Hispanic,Graduated college or technical school,25k-35k,10003,2020,4.076874770100108e-05
18-24,Male,Hispanic,Graduated college or technical school,35k-50k,14672,2020,5.979796723673777e-05
18-24,Male,Hispanic,Graduated college or technical school,50k-100k,55104,2020,0.00022458473191202277
18-24,Male,Hispanic,Graduated college or technical school,<15k,10792,2020,4.398443718776404e-05
18-24,Male,Hispanic,Graduated high school,100k-200k,293515,2020,0.0011962650186403412
18-24,Male,Hispanic,Graduated high school,15k-25k,80059,2020,0.0003262926294306154
18-24,Male,Hispanic,Graduated high school,200k+,55617,2020,0.00022667554142622985
18-24,Male,Hispanic,Graduated high school,25k-35k,105224,2020,0.00042885641388484835
18-24,Male,Hispanic,Graduated high school,35k-50k,174925,2020,0.000712933439128023
18-24,Male,Hispanic,Graduated high school,50k-100k,482883,2020,0.0019680631006800467
18-24,Male,Hispanic,Graduated high school,<15k,59985,2020,0.0002444779896875487
18-24,Male,NH-Black,Attended college or technical school,100k-200k,147332,2020,0.000600473971436958
18-24,Male,NH-Black,Attended college or technical school,15k-25k,57604,2020,0.00023477386209821716
18-24,Male,NH-Black,Attended college or technical school,200k+,32397,2020,0.00013203890025685616
18-24,Male,NH-Black,Attended college or technical school,25k-35k,68630,2020,0.000279712001871409
18-24,Male,NH-Black,Attended college or technical school,35k-50k,100346,2020,0.0004089753830655458
18-24,Male,NH-Black,Attended college or technical school,50k-100k,226670,2020,0.0009238280557218749
18-24,Male,NH-Black,Attended college or technical school,<15k,71917,2020,0.0002931086702402174
18-24,Male,NH-Black,Did not graduate high school,100k-200k,40392,2020,0.00016462373859230589
18-24,Male,NH-Black,Did not graduate high school,15k-25k,39877,2020,0.00016252477777394984
18-24,Male,NH-Black,Did not graduate high school,200k+,7584,2020,3.090974533283937e-05
18-24,Male,NH-Black,Did not graduate high school,25k-35k,39859,2020,0.00016245141603660922
18-24,Male,NH-Black,Did not graduate high school,35k-50k,49525,2020,0.0002018466689885113
18-24,Male,NH-Black,Did not graduate high school,50k-100k,87138,2020,0.0003551441704658435
18-24,Male,NH-Black,Did not graduate high school,<15k,47075,2020,0.0001918613214060408
18-24,Male,NH-Black,Graduated college or technical school,100k-200k,29034,2020,0.00011833248233038743
18-24,Male,NH-Black,Graduated college or technical school,15k-25k,6593,2020,2.6870774127031905e-05
18-24,Male,NH-Black,Graduated college or technical school,200k+,9329,2020,3.8021758202803067e-05
18-24,Male,NH-Black,Graduated college or technical school,25k-35k,7669,2020,3.125617575916998e-05
18-24,Male,NH-Black,Graduated college or technical school,35k-50k,12652,2020,5.1565150046292684e-05
18-24,Male,NH-Black,Graduated college or technical school,50k-100k,33352,2020,0.0001359311479879824
18-24,Male,NH-Black,Graduated college or technical school,<15k,10247,2020,4.176320680717366e-05
18-24,Male,NH-Black,Graduated high school,100k-200k,124185,2020,0.0005061348528690213
18-24,Male,NH-Black,Graduated high school,15k-25k,74716,2020,0.0003045164203966807
18-24,Male,NH-Black,Graduated high school,200k+,21837,2020,8.900001435037096e-05
18-24,Male,NH-Black,Graduated high school,25k-35k,78781,2020,0.0003210839460794328
18-24,Male,NH-Black,Graduated high school,35k-50k,116505,2020,0.000474833844937032
18-24,Male,NH-Black,Graduated high school,50k-100k,236177,2020,0.0009625752799939351
18-24,Male,NH-Black,Graduated high school,<15k,75367,2020,0.0003071696698971657
18-24,Male,NH-White,Attended college or technical school,100k-200k,818959,2020,0.0033377919472622358
18-24,Male,NH-White,Attended college or technical school,15k-25k,188707,2020,0.0007691040760184756
18-24,Male,NH-White,Attended college or technical school,200k+,297458,2020,0.001212335314770007
18-24,Male,NH-White,Attended college or technical school,25k-35k,197676,2020,0.0008056585994744667
18-24,Male,NH-White,Attended college or technical school,35k-50k,292946,2020,0.0011939459726099633
18-24,Male,NH-White,Attended college or technical school,50k-100k,784271,2020,0.003196415728102751
18-24,Male,NH-White,Attended college or technical school,<15k,277805,2020,0.0011322365245502956
18-24,Male,NH-White,Did not graduate high school,100k-200k,252605,2020,0.0010295300922734559
18-24,Male,NH-White,Did not graduate high school,15k-25k,59536,2020,0.0002426480219061082
18-24,Male,NH-White,Did not graduate high school,200k+,92815,2020,0.0003782816472926538
18-24,Male,NH-White,Did not graduate high school,25k-35k,68286,2020,0.00027830997755778865
18-24,Male,NH-White,Did not graduate high school,35k-50k,100571,2020,0.0004098924047823033
18-24,Male,NH-White,Did not graduate high school,50k-100k,284433,2020,0.0011592499464999342
18-24,Male,NH-White,Did not graduate high school,<15k,59726,2020,0.000243422395800259
18-24,Male,NH-White,Graduated college or technical school,100k-200k,280617,2020,0.001143697258183727
18-24,Male,NH-White,Graduated college or technical school,15k-25k,48153,2020,0.00019625487434232782
18-24,Male,NH-White,Graduated college or technical school,200k+,162152,2020,0.0006608751351807185
18-24,Male,NH-White,Graduated college or technical school,25k-35k,49029,2020,0.00019982514555957033
18-24,Male,NH-White,Graduated college or technical school,35k-50k,87882,2020,0.00035817645560925495
18-24,Male,NH-White,Graduated college or technical school,50k-100k,256611,2020,0.0010458571544838138
18-24,Male,NH-White,Graduated college or technical school,<15k,64554,2020,0.00026309964401583766
18-24,Male,NH-White,Graduated high school,100k-200k,759922,2020,0.003097177675741292
18-24,Male,NH-White,Graduated high school,15k-25k,142121,2020,0.0005792357484768545
18-24,Male,NH-White,Graduated high school,200k+,227500,2020,0.0009272108469436915
18-24,Male,NH-White,Graduated high school,25k-35k,187968,2020,0.0007660921691354366
18-24,Male,NH-White,Graduated high school,35k-50k,293614,2020,0.0011966685081957146
18-24,Male,NH-White,Graduated high school,50k-100k,851147,2020,0.0034689790362355264
18-24,Male,NH-White,Graduated high school,<15k,126975,2020,0.0005175059221568143
25-29,Female,AIAN,Attended college or technical school,100k-200k,4573,2020,1.863795693658682e-05
25-29,Female,AIAN,Attended college or technical school,15k-25k,2421,2020,9.86715367231067e-06
25-29,Female,AIAN,Attended college or technical school,200k+,614,2020,2.5024503737293475e-06
25-29,Female,AIAN,Attended college or technical school,25k-35k,2835,2020,1.1554473631144463e-05
25-29,Female,AIAN,Attended college or technical school,35k-50k,3861,2020,1.5736092659558652e-05
25-29,Female,AIAN,Attended college or technical school,50k-100k,9772,2020,3.982727207179672e-05
25-29,Female,AIAN,Attended college or technical school,<15k,3172,2020,1.2927968380243471e-05
25-29,Female,AIAN,Did not graduate high school,100k-200k,480,2020,1.9563129957493273e-06
25-29,Female,AIAN,Did not graduate high school,15k-25k,1224,2020,4.988598139160785e-06
25-29,Female,AIAN,Did not graduate high school,200k+,119,2020,4.85002596862854e-07
25-29,Female,AIAN,Did not graduate high school,25k-35k,871,2020,3.549892956870133e-06
25-29,Female,AIAN,Did not graduate high school,35k-50k,1002,2020,4.0838033786267205e-06
25-29,Female,AIAN,Did not graduate high school,50k-100k,1515,2020,6.174612892833814e-06
25-29,Female,AIAN,Did not graduate high school,<15k,2115,2020,8.620004137520473e-06
25-29,Female,AIAN,Graduated college or technical school,100k-200k,2519,2020,1.026656757560949e-05
25-29,Female,AIAN,Graduated college or technical school,15k-25k,427,2020,1.7403034358020057e-06
25-29,Female,AIAN,Graduated college or technical school,200k+,768,2020,3.1301007931989237e-06
25-29,Female,AIAN,Graduated college or technical school,25k-35k,782,2020,3.187159922241612e-06
25-29,Female,AIAN,Graduated college or technical school,35k-50k,1192,2020,4.858177272777496e-06
25-29,Female,AIAN,Graduated college or technical school,50k-100k,3507,2020,1.4293311825193522e-05
25-29,Female,AIAN,Graduated college or technical school,<15k,338,2020,1.3775704011734847e-06
25-29,Female,AIAN,Graduated high school,100k-200k,3024,2020,1.2324771873220761e-05
25-29,Female,AIAN,Graduated high school,15k-25k,2044,2020,8.330632840232552e-06
25-29,Female,AIAN,Graduated high school,200k+,328,2020,1.3368138804287069e-06
25-29,Female,AIAN,Graduated high school,25k-35k,2698,2020,1.099610929694101e-05
25-29,Female,AIAN,Graduated high school,35k-50k,2902,2020,1.1827542320134474e-05
25-29,Female,AIAN,Graduated high school,50k-100k,7086,2020,2.8880070599749443e-05
25-29,Female,AIAN,Graduated high school,<15k,3284,2020,1.338444141258498e-05
